"","park_name","acres","latitude","longitude","park_name_short","state_long","meters_sq","count_mammal","count_bird","count_reptile","count_amphibian","count_fish","count_insect","count_arachnid","count_gastropod","count_shellfish","count_other","count_vascular","count_nonvascular","count_algae","count_fungi","count_animals","count_vert","count_invert","count_plants","animals_native_total","animals_native_percent","animals_endanger","rank_mammal","rank_bird","rank_reptile","rank_amphibian","rank_fish"
"26","Grand Teton National Park",309995,43.73,-110.8,"Grand Teton","Wyoming",1254506365.7,94,272,51,61,107,2414,104,92,10,84,2174,528,0,632,3289,585,2704,2702,329,10,3,8,15,8,2,8
"27","Guadalupe Mountains National Park",86416,31.92,-104.87,"Guadalupe Mountains","Texas",349713453.76,76,272,56,12,3,115,2,58,5,7,1069,5,0,66,606,419,187,1074,550,90.8,3,16,15,6,14,45
"28","Haleakala National Park",29094,20.72,-156.17,"Haleakala","Hawaii",117739344.84,15,44,10,3,6,1061,46,47,18,37,1000,227,0,66,1287,78,1209,1227,699,54.3,10,42,49,24,22,42
"29","Hawaii Volcanoes National Park",323431,19.38,-155.2,"Hawaii Volcanoes","Hawaii",1308879976.66,15,78,13,4,4,1429,101,71,56,173,1212,135,0,7,1944,114,1830,1347,1310,67.4,14,42,48,21,21,44
"30","Hot Springs National Park",5550,34.51,-93.05,"Hot Springs","Arkansas",22460073,52,387,52,27,90,15,0,2,9,22,1252,18,24,48,656,608,48,1270,240,36.6,5,32,5,7,6,11
"31","Isle Royale National Park",571790,48.1,-88.55,"Isle Royale","Michigan",2313954079.4,26,261,5,13,63,0,0,0,14,21,993,1,0,0,403,368,35,994,381,94.5,4,41,19,28,13,14
"32","Joshua Tree National Park",789745,33.79,-115.9,"Joshua Tree","California",3195987450.7,67,301,52,5,1,342,153,0,0,10,1314,6,5,48,931,426,505,1320,410,44,4,21,12,7,20,46
"33","Katmai National Park and Preserve",3674530,58.5,-155,"Katmai","Alaska",14870308475.8,54,222,0,1,44,7,0,7,4,29,732,20,0,105,368,321,47,752,289,78.5,8,31,34,32,24,18
"34","Kenai Fjords National Park",669983,59.92,-149.65,"Kenai Fjords","Alaska",2711327403.38,55,235,0,1,42,3,0,4,0,42,673,0,0,2,382,333,49,673,233,61,10,30,30,32,24,19
"35","Kobuk Valley National Park",1750717,67.55,-159.28,"Kobuk Valley","Alaska",7084906598.62,38,125,0,1,26,0,0,0,0,0,476,26,0,333,190,190,0,502,187,98.4,1,39,47,32,24,26
"36","Lake Clark National Park and Preserve",2619733,60.97,-153.42,"Lake Clark","Alaska",10601692688.38,50,193,0,1,55,3,0,0,1,6,1197,281,0,220,309,299,10,1478,282,91.3,5,33,41,32,24,16
"37","Lassen Volcanic National Park",106372,40.49,-121.51,"Lassen Volcanic","California",430472591.92,100,245,22,17,20,95,0,6,15,18,1046,160,2,55,538,404,134,1206,361,67.1,8,6,24,18,10,30
"38","Mammoth Cave National Park",52830,37.18,-86.1,"Mammoth Cave","Kentucky",213795613.8,56,210,42,33,122,270,2,0,1,54,1708,1,0,0,790,463,327,1709,458,58,14,29,38,10,5,7
"39","Mesa Verde National Park",52122,37.18,-108.49,"Mesa Verde","Colorado",210930436.92,86,237,21,8,0,0,0,0,0,0,891,0,0,0,352,352,0,891,335,95.2,6,12,29,19,17,47
"40","Mount Rainier National Park",235625,46.85,-121.75,"Mount Rainier","Washington",953541387.5,69,187,5,16,23,47,0,0,0,0,1008,357,0,31,347,300,47,1365,320,92.2,7,19,42,28,11,28
"41","North Cascades National Park",504781,48.7,-121.2,"North Cascades","Washington",2042778037.66,79,226,10,12,33,559,42,0,0,0,1478,385,0,539,961,360,601,1863,690,71.8,8,14,32,24,14,22
"42","Olympic National Park",922651,47.97,-123.5,"Olympic","Washington",3733839425.86,80,310,6,16,97,87,0,0,0,0,1352,0,0,0,596,509,87,1352,552,92.6,9,13,11,27,11,9
"43","Petrified Forest National Park",93533,35.07,-109.78,"Petrified Forest","Arizona",378514956.38,62,244,21,8,0,0,0,0,0,0,516,1,0,1,335,335,0,517,330,98.5,4,25,25,19,17,47
"44","Pinnacles National Park",26606,36.48,-121.16,"Pinnacles","California",107670757.16,60,170,29,10,6,323,10,11,8,31,731,0,0,27,658,275,383,731,327,49.7,2,26,45,15,15,42
"45","Redwood National Park",112512,41.3,-124,"Redwood","California",455320312.32,154,501,39,33,247,744,7,147,122,334,2257,251,111,1585,2328,974,1354,2508,619,26.6,27,2,2,12,5,6
"46","Rocky Mountain National Park",265828,40.4,-105.58,"Rocky Mountain","Colorado",1075768700.08,74,277,3,5,12,676,22,10,39,48,1114,416,150,606,1166,371,795,1530,481,41.3,4,17,14,30,20,37
"47","Saguaro National Park",91440,32.25,-110.5,"Saguaro","Arizona",370044878.4,102,246,62,10,0,0,0,0,1,0,1411,0,0,2,421,420,1,1411,363,86.2,3,5,23,3,15,47
"48","Sequoia and Kings Canyon National Parks",865952,36.43,-118.68,"Sequoia | Kings Canyon","California",3504386510.72,89,220,24,13,19,0,0,0,0,0,1630,0,0,0,365,365,0,1630,303,83,5,10,35,16,13,31
"49","Shenandoah National Park",199045,38.53,-78.35,"Shenandoah","Virginia",805507248.7,63,268,38,40,41,318,4,2,3,2,2761,350,0,765,779,450,329,3111,421,54,3,24,17,13,4,20
"50","Theodore Roosevelt National Park",70447,46.97,-103.45,"Theodore Roosevelt","North Dakota",285089146.42,66,223,13,8,32,73,2,2,1,3,680,61,0,1,423,342,81,741,322,76.1,4,22,33,21,17,23
"51","Voyageurs National Park",218200,48.5,-92.88,"Voyageurs","Minnesota",883024852,63,238,6,15,58,33,0,0,0,7,1019,11,0,3,420,380,40,1030,384,91.4,3,24,28,27,12,15
"52","Wind Cave National Park",28295,43.57,-103.48,"Wind Cave","South Dakota",114505903.7,89,235,12,7,8,105,0,25,0,0,871,0,0,43,481,351,130,871,330,68.6,4,10,30,22,18,41
"53","Wrangell - St Elias National Park and Preserve",8323148,61,-142,"Wrangell-St.Elias","Alaska",33682614715.28,62,211,1,2,93,58,0,1,0,4,1357,7,0,0,432,369,63,1364,421,97.5,8,25,37,31,23,10
"54","Yellowstone National Park",2219791,44.6,-110.5,"Yellowstone","Wyoming | Montana | Idaho",8983183406.26,78,330,9,9,19,1628,43,59,63,78,1420,15,204,419,2316,445,1871,1435,860,37.1,4,15,10,25,16,31
"55","Yosemite National Park",761266,37.83,-119.5,"Yosemite","California",3080736924.76,88,270,22,15,10,0,0,0,0,0,1683,0,0,0,405,405,0,1683,364,89.9,9,11,16,18,12,39
"56","Zion National Park",146598,37.3,-113.05,"Zion","Utah",593261582.28,80,301,30,7,15,0,0,0,0,0,1363,0,0,0,433,433,0,1363,418,96.5,7,13,12,14,18,34
